name,author,pub_date,press,now_price,pre_price,discount,outline,img_url,size,paper,package,suit,isbn,category,detail,catalogue,content,author_detail 
 流浪的地球（刘慈欣著，无删节无改写，大人孩子均可阅读，此版本当当网销量遥遥领先！根据本书改编的同名电影2019春节上映 科幻界“诺贝尔奖”雨果奖得主刘慈欣著，获科幻小说银河奖特等奖，根据本书改编的同名电影票房突破45亿！本书还收录《超新星纪元》《圆圆的肥皂泡》《诗云》等著名短篇科幻，是大刘《三体》之外ZUI重磅作品。,刘慈欣,2018-05-01,浙江教育出版社,21.80,29.00,7.52折 ,刘慈欣授权，电影《流浪地球》同名原著小说，收录《超新星纪元》《流浪的地球》《圆圆的肥皂泡》《诗云》四个短篇，无删节，无改写，原滋原味呈现大刘想象奇特、精彩绝伦的科幻世界，大人孩子均可阅读！ 面对日新月异的科技进步，身为父母我们经常扪心自问：该如何帮助孩子驾驭新技术，成为新时代的领跑者？家长对孩子的科学故事投资，能帮助孩子在未来的科学世界中发挥优势。这些故事也能让孩子离开手机屏幕，在科技的世界中感受好奇和热情！ 另外，中国传统文化不重科学和实验，中国男孩成长的柔性倾向，更是让我们想出一套 刚性十足 的少年小说。科幻界 诺贝尔奖 雨果奖的开花结果，把科幻小说推到更多人的面前。 银火箭 是我们从几百册国内外好书中精心挑选出来的佳作，是一套涵括中外科幻、幻想、科学方向的大系列图书，,http://img3m0.ddimg.cn/44/29/25259300-1_b_8.jpg,开 本：32开,纸 张：轻型纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787553671413,"图书,童书,中国儿童文学,幻想小说,图书,童书,3-6岁,文学",,,,
 东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之王） 万千东野迷心中的无冕之王，周刊文春推理榜年度榜首作品，我一直走在白夜里，从来就没有太阳，所以不怕失去,东野圭吾,2017-08-09,南海出版公司,41.10,59.60,6.9折 ,1999年，东野圭吾41岁正值盛年，写作出道已14年，在笔力、技巧、体力和雄心上都炉火纯青，于是洋洋洒洒写出了这部鸿篇巨制《白夜行》。这种规模宏大的长篇作品在职业作家一生的创作中极为罕见，完成后基本都被视为生涯代表作。 《白夜行》一经推出即成为东野圭吾的长篇小说代表作，被万千书迷视为东野圭吾作品中的无冕之王，畅销至今。 《白夜行》中文版销量突破450万册，和《嫌疑人X的献身》《恶意》《解忧杂货店》并称为东野圭吾四大杰作。 《白夜行》草蛇灰线伏脉千里，情节线索纵横交错又丝丝入扣，全书登场人物超过50个，用一桩离奇命案牵出案件相关人19年惊心动魄的故事、悲凉的爱情、吊诡的命运、令人发指的犯罪、白描又生动的社会图景、复杂人性的对决与救赎，读来令人叹为观止。 《白夜行》淋漓尽致地展现了东野圭吾的写,http://img3m2.ddimg.cn/62/32/25119332-1_b_9.jpg,开 本：32开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787544291163,"图书,小说,社会,图书,小说,外国小说,日本",,,,
 正面管教(修订版) 如何不惩罚、不娇纵地有效管教孩子。畅销美国400多万册，被翻译成16种语言畅销全球；让数百万孩子、父母和老师受益终身的经典之作；自1981年本书*版出版以来，《正面管教》已经成为管教孩子的“黄金准则,简·尼尔森,2016-07-01,北京联合出版公司,38.00,38.00,,1、 畅销美国400多万册，被翻译成16种语言畅销全球； 2、 让数百万孩子、父母和老师受益终身的经典之作； 3、 自1981年本书*版出版以来，《正面管教》已经成为管教孩子的 黄金准则 4、 简 尼尔森 教育学博士、杰出的心理学家 在本书中告诉 21 世纪的父母和老师们： 惩罚和娇纵为什么对孩子都不好，并且不管用？ 怎样用既不惩罚又不娇纵的正面管教方法培养孩子受益终生的良好品质？ 如何用正面管教方法自动消除孩子的不良行为？ 如何赢得孩子与父母和老师的合作？ 如何消解大人与孩子之间的权力之争？ 超级父母 对孩子会有什么危害？ 各种性格的父母对孩子会有什么正反两方面的影响？父母如何发挥自己性格中的优点，避免缺点给孩子造成的不良影响？ 老师们如何避免对孩子造成管教问题？ 从 3 岁到青春期的十几岁的孩子,http://img3m0.ddimg.cn/64/6/23990140-1_b_7.jpg,开 本：16开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787550268517,"图书,亲子/家教,家教方法",,,,
 人间失格（日本小说家太宰治的自传体小说） 超燃！“丧文化”流行，《人间失格》成了现象级畅销书，创当当3天销售50000+册的奇迹！收录作者绝笔之作《Good bye》。一个“丧失为人资格”少年的心灵独白，一个对村上春树影响至深的绝望凄美故事。,太宰治,2015-08-01,作家出版社,17.50,25.00,7折 ,★ 太宰治灵魂深处无助的生命绝唱，同时也是村上春树绝望凄美的灵感源泉。 ★ 完整收录未完成遗作《Goodbye》， 无赖派 文学大师太宰治代表作集结。 ★ 即使时移世易，深深的绝望依旧源自内心的迷茫，而这种迷茫和彷徨几乎贯穿了太宰治以及我们每个人的青春。因此，《人间失格》是一部残酷而永恒的青春文学。 ★ 世界文学名著系列，名家翻译，全译本，唯美设计，印刷精美。 更多精彩链接特惠套装：人间失格 罗生门 简 奥斯汀爱情小说（全3册：《傲慢与偏见》 《理智与情感》 《爱玛》） 乔治.奥威尔经典套装（一九八四 动物农场） 泰戈尔诺贝尔文学奖经典套装：全3册全彩珍藏版 汪曾祺典藏文集（全四册：人间知味 人间世相 大淖记事 鸡鸭名家） 《努力，是为了可以选,http://img3m5.ddimg.cn/56/4/23761145-1_b_2.jpg,开 本：32开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787506380263,"图书,小说,社会,图书,小说,外国小说,日本",,,,
 DK幼儿百科全书——那些重要的事 英国DK专为学龄前儿童设计的百科全书，那些孩子们应该知道的重要的事，都在这里！英国《少年杂志》设计奖ZUI佳童书类银奖！扫描封底二维码，免费音频同步听，解决科普难讲的大难题！,英国DK公司,2017-07-01,中国大百科全书出版社,133.90,138.00,9.71折 ,★ 英国 DK 出版社与中国大百科全书出版社联合策划，专为中国儿童设计的的幼儿入门科普书； ★ 英国 DK 出版社第YI本从幼儿视角出发的百科全书； ★ 根据幼儿特殊的认知需求，结合英国 DK 特有的讲述方式； ★ DK 首次采用手绘插图 实拍照片的图片处理方式；语言风格轻松愉快，自然流露，赋予了知识更多的文学性,http://img3m4.ddimg.cn/7/16/25233424-1_b_3.jpg,开 本：16开,纸 张：铜版纸,包 装：精装,是否套装：否,国际标准书号ISBN：9787520201056,"图书,童书,科普/百科,百科,图书,童书,3-6岁,科普/百科",,,,
 活着（2017年新版） 余华是我国当代著名作家，也是享誉世界的小说家，曾荣获众多国内外奖项。《活着》是其代表作，在全球广泛传播，销量逾千万册，获得了普遍好评，已成为中国乃至世界当代文学的经典。,余华,2012-08-01,作家出版社,28.00,28.00,,余华是我国当代著名作家，也是蜚声国际的小说家，他的作品享誉世界，曾获众多国内外奖项。其中长篇小说《活着》用独特的表述方式，揭示了在困境中求生的理念，展现了生命的顽强与乐观。该小说现已有近50个版本在全球近40个国家和地区出版，并有数种少数民族文字版，以及盲文版在我国出版。自2008年在作家出版社出版以来，数次再版，加印100多次，迄今发行量逾700万册。,http://img3m0.ddimg.cn/7/27/25137790-1_b_2.jpg,开 本：16开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787506365437,"图书,小说,社会,图书,小说,中国当代小说",,,,
name,author,pub_date,press,now_price,pre_price,discount,outline,img_url,size,paper,package,suit,isbn,category,detail,catalogue,content,author_detail
 三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！ ,刘慈欣,2010-11-01,重庆出版社,55.80,93.00,6折 ,相关推荐：三体中的物理学 《三体》的幻想源于经典物理中的三体问题，即三个体积质量相当的天体，在远离其它星系以致其它星系的引力影响可忽略不计的情况下，三个天体在互相引力的作用下互相围绕运行，其运行轨迹将产生不可预测的混沌。很多年来，数学家们一直希望能建立三体乃至多体问题的数学模型，可遗憾的是，得到的结果仅仅是三体问题在非限制条件下的不可解。刘慈欣正是基于这样的科学事实，用大胆的想象和严谨的推断，在三体星系的行星中构建了一个外星文明形态，并描绘了该文明在如同不可捉摸的命运一般的 恒纪元 与 乱纪元 [ 注 1] 的轮替中，数百次的毁灭和重生。三体的故事有着广袤的时间与空间纬度，其以明暗两条线索发展，一条描述了科学家叶文洁在目睹了文革的疯狂与愚昧之后，痛苦的思索着后工业时代对人本,,开 本：32开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：23579654,"图书,小说,科幻,图书,小说,中国当代小说",,,,
 平凡的世界：全三册（朱一龙推荐，八年级下册自主阅读推荐） 新晋男神朱一龙推荐阅读。茅盾文学奖皇冠上的明珠，激励亿万读者的不朽经典。深受老师和学生喜爱的新课标必读书,路遥,2017-06-01,北京十月文艺出版社,74.50,108.00,6.9折 ,茅盾文学奖皇冠上的明珠 激励亿万读者的不朽经典 深受老师和学生喜爱的新课标必读书 路遥获得了这个世界里数以亿计的普通人的尊敬和崇拜，他沟通了这个世界的人们和地球人类的情感。 陈忠实 他是一个优秀的作家，他是一个出色的政治家，他是一个气势磅礴的人。但他是夸父，倒在干渴的路上。他的文学就像火一样燃出炙人的灿烂的光焰。 贾平凹 对我影响*的人是路遥。是路遥的作品改变了我，让我意识到不放弃总有机会，否则我现在还在蹬三轮车呢。 马 云 作家路遥用毕生心血写就的《平凡的世界》，展示了一幅宏大的普通人在时代大变革中所走过的既平凡又壮美的人生画卷。人生的奋斗，理想的追求，在不同的时代都是相似的。,http://img3m2.ddimg.cn/41/25/25090502-1_b_5.jpg,开 本：32开,纸 张：胶版纸,包 装：平装-胶订,是否套装：是,国际标准书号ISBN：9787530216781,"图书,小说,社会,图书,小说,中国当代小说",,,,
 神奇校车·桥梁书版（全20册） （新老版本交替发货）美国Scholastic学子出版社金牌畅销系列，继续打造神奇校车的科学冒险之旅！全新内容，全新体验，小神校迷不可错过的独立阅读读本！（蒲公英童书馆出品）,乔安娜柯尔,2014-04-01,贵州人民出版社,147.00,150.00,9.8折 ,神奇校车迷们，快来一起加入卷毛老师和同学们的新冒险吧！在《神奇校车桥梁书版》中，你将跟随他们进入太空、气象、海洋、生物、身体等各种神奇的领域，踏上全新的科学旅程！ 延续《神奇校车》的幽默故事，为小 神校迷 们提供全新的科学知识以及有趣的社会研究课题，全套20本，一次过足 校车瘾！ 编辑过程中，对书中的知识点全部重新查阅核对，保证知识的清晰和准确性，同时注重人物对白的趣味性， 让小朋友在快乐阅读中获取知识。 《神奇校车桥梁书版》的文图设计符合4-8岁自主阅读期孩子的需求，可以让孩子独立完成阅读。小读者将在自主阅读中获取新的科学知识，大大提升他们阅读和学习的兴趣。,http://img3m0.ddimg.cn/61/3/23444350-1_b_4.jpg,开 本：16开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：9787221116604,"图书,童书,科普/百科,科普,图书,童书,7-10岁,科普/百科",,,,
 少年读史记（套装全5册） 精巧32开本，当当独家定制版。荣获第六届中华优秀出版物奖 ；史学、文学、哲学、国学一次到位，台湾著名儿童文学作家张嘉骅倾力打造更适合孩子阅读的《史记》！,张嘉骅,2015-09-01,青岛出版社,95.00,100.00,9.5折 ,★第六届中华优秀出版物奖 ★冰心儿童图书奖 ★2015桂冠童书奖（文化历史类） ★入选2015年4月中国好书 ★入选中国出版协会2015年度 中国30本好书 ★入选国家新闻出版广电总局首届向全国推荐中华优秀传统文化普及图书 ★2016当当童书大新书奖 ★ 2016当当童书中国力量主题童书奖 ★2017当当童书原创榜前十名 史学、文学、哲学、国学一次到位，读《史记》，成大器！ 孩子的语言，现代的视角，有温度的故事，台湾作家倾力打造更适合孩子阅读的《史记》。,http://img3m1.ddimg.cn/80/1/23778791-1_b_4.jpg,开 本：32开,纸 张：胶版纸,包 装：平装-胶订,是否套装：否,国际标准书号ISBN：23778791,"图书,童书,中国儿童文学,经典名著少儿版,图书,童书,11-14岁,文学",,,,
